Timestamp	Filename	Error	Message
2023-03-01 16:49:15.919 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 16:49:15.935 +0800	Validasi	0	script steps imported : 2
2023-03-01 16:49:15.935 +0800	GL.fmp12	0	Import completed
2023-03-01 16:49:23.152 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 16:49:23.167 +0800	Validasi	0	script steps imported : 2
2023-03-01 16:49:23.167 +0800	GL.fmp12	0	Import completed
2023-03-01 16:49:28.729 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 16:49:28.729 +0800	Validasi	0	script steps imported : 2
2023-03-01 16:49:28.729 +0800	GL.fmp12	0	Import completed
2023-03-01 16:49:34.306 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 16:49:34.322 +0800	Validasi	0	script steps imported : 2
2023-03-01 16:49:34.322 +0800	GL.fmp12	0	Import completed
2023-03-01 16:57:29.776 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 16:57:29.792 +0800	Validasi fix	0	script steps imported : 4
2023-03-01 16:57:29.792 +0800	GL.fmp12	0	Import completed
2023-03-01 16:58:03.690 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 16:58:03.705 +0800	Validasi fix	0	script steps imported : 4
2023-03-01 16:58:03.705 +0800	GL.fmp12	0	Import completed
2023-03-01 16:58:28.787 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 16:58:28.787 +0800	Validasi fix	0	script steps imported : 4
2023-03-01 16:58:28.787 +0800	GL.fmp12	0	Import completed
2023-03-01 16:59:36.913 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 16:59:36.913 +0800	Validasi fix	0	script steps imported : 1
2023-03-01 16:59:36.913 +0800	GL.fmp12	0	Import completed
2023-03-01 16:59:44.626 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-01 16:59:44.658 +0800	Validasi fix	0	script steps imported : 1
2023-03-01 16:59:44.658 +0800	GL.fmp12	0	Import completed
2023-03-02 09:31:00.220 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 09:31:00.233 +0800	InputCOA	0	script steps imported : 4
2023-03-02 09:31:00.234 +0800	GL.fmp12	0	Import completed
2023-03-02 09:31:06.204 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 09:31:06.209 +0800	InputCOA	0	script steps imported : 4
2023-03-02 09:31:06.210 +0800	GL.fmp12	0	Import completed
2023-03-02 09:31:10.548 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 09:31:10.563 +0800	InputCOA	0	script steps imported : 4
2023-03-02 09:31:10.566 +0800	GL.fmp12	0	Import completed
2023-03-02 09:33:15.277 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 09:33:15.293 +0800	Validasi fix	0	script steps imported : 4
2023-03-02 09:33:15.294 +0800	GL.fmp12	0	Import completed
2023-03-02 09:33:45.919 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 09:33:45.934 +0800	Validasi fix	0	script steps imported : 4
2023-03-02 09:33:45.936 +0800	GL.fmp12	0	Import completed
2023-03-02 09:34:17.046 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 09:34:17.053 +0800	Validasi fix	0	script steps imported : 4
2023-03-02 09:34:17.054 +0800	GL.fmp12	0	Import completed
2023-03-02 09:34:22.210 +0800	GL.fmp12	0	Import of script steps from clipboard started
2023-03-02 09:34:22.225 +0800	Validasi fix	0	script steps imported : 4
2023-03-02 09:34:22.227 +0800	GL.fmp12	0	Import completed
2023-03-02 09:41:43.322 +0800	GL.fmp12	0	Import of script steps from clipboard started
